[2026-06-20T00:57:14.582Z] GET https://pubmed.ncbi.nlm.nih.gov/42319824/ → pending (?ms, ?B)
[2026-06-20T00:57:20.676Z] GET https://www.cell.com/cell-reports/fulltext/S2211-1247(26)00647-5 → 307 (514ms, ?B)
[2026-06-20T00:57:21.191Z] GET https://www.cell.com/cell-reports/fulltext/S2211-1247(26)00647-5 → pending (?ms, ?B)
[2026-06-20T00:57:21.444Z] GET https://www.cell.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0e6d1a4ed8833dc → 200 (538ms, 215300B)
[2026-06-20T00:57:21.993Z] GET blob:https://www.cell.com/8a9a9981-69f5-4ed8-88f1-01d1f15c16ce → pending (?ms, ?B)
[2026-06-20T00:57:22.015Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js?onload=NsqWi3&render=explicit → pending (?ms, ?B)
[2026-06-20T00:57:22.147Z] POST https://www.cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d1a4ed8833dc/pJ_U00SuJSpp9isM4BgZ2ei2RiP0G0L7tLllo5yfYjs-1781917041-1.2.1.1-NxUPcw7nmtp4joIUpMTGWUWtc81yF4pAFWbsIX0otGq_0VeU7bM2KcwpHp5KCfOb → pending (?ms, ?B)
[2026-06-20T00:57:22.342Z] GET blob:https://www.cell.com/018c1556-c7a8-480d-be53-cf4481309f39 → 200 (5ms, 291B)
[2026-06-20T00:57:22.569Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/b1enu/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (365ms, ?B)
[2026-06-20T00:57:23.004Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → pending (?ms, ?B)
[2026-06-20T00:57:23.878Z] GET blob:https://challenges.cloudflare.com/8f3d0a09-5796-476c-8534-e486af5af5ed → pending (?ms, ?B)
[2026-06-20T00:57:24.046Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d1aebe28df0a/tay_T6BytGmVxLwkcF5M1TOTQxkHn7fqM30Fdkbt9Is-1781917042-1.2.1.1-92SYIRLOE24hawW1Qh3bUv3e_QWaBqxoJ3W_Yvj2mloFdu_7wCVSLh8qKv8aSsqk → pending (?ms, ?B)
[2026-06-20T00:57:24.982Z] GET https://pmc.ncbi.nlm.nih.gov/articles/PMC42319824/ → pending (?ms, ?B)
[2026-06-20T00:57:25.082Z] GET blob:https://challenges.cloudflare.com/2246f217-7502-4657-8f26-8b0576388511 → 200 (7ms, 291B)
[2026-06-20T00:57:25.639Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6d1aebe28df0a/1781917044299/e4dadfeafd543367aec7b04d83264097c977c863d596e2c28e4e82f37332b8fd/D1weq5yjPaspe6V → pending (?ms, ?B)
[2026-06-20T00:57:25.828Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/assets/base_style-BxRs1iOp.css → pending (?ms, ?B)
[2026-06-20T00:57:25.828Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/assets/base_style-D-jH62-1.js → pending (?ms, ?B)
[2026-06-20T00:57:25.828Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/assets/exception_style-DfB_Czfm.css → pending (?ms, ?B)
[2026-06-20T00:57:25.828Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/assets/exception_style-BwXPOLgr.js → pending (?ms, ?B)
[2026-06-20T00:57:25.828Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/assets/uswds-init.js → pending (?ms, ?B)
[2026-06-20T00:57:25.828Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/us_flag.svg → pending (?ms, ?B)
